% Temperatura Superficial del Mar y su Anomalía
% Estación Costera Callao (12°03'57.78"S, 77°09'30.54"W)
%  = Promedio diario de la Temperatura Superficial del Mar en grados Celsius (°C)
%    para los últimos 12 meses
%  = Anomalía diaria de la Temperatura Superficial del Mar en grados Celsius (°C)
%    con respecto a la Climatología de 1981-2010
%
% Consultas: cgrados@imarpe.gob.pe
%
% yyyy   mm   dd    TSM     ATSM
  2018   01   01     NaN     NaN
  2018   01   02     NaN     NaN
  2018   01   03   14.43   -1.62
  2018   01   04   15.33   -0.72
  2018   01   05     NaN     NaN
  2018   01   06     NaN     NaN
  2018   01   07     NaN     NaN
  2018   01   08   15.57   -0.57
  2018   01   09   15.60   -0.54
  2018   01   10   15.40   -0.74
  2018   01   11   15.17   -1.10
  2018   01   12   14.93   -1.34
  2018   01   13   15.85   -0.42
  2018   01   14   17.00    0.73
  2018   01   15   15.97   -0.30
  2018   01   16   15.03   -1.35
  2018   01   17   14.93   -1.45
  2018   01   18   16.73    0.35
  2018   01   19   17.50    1.12
  2018   01   20   17.05    0.67
  2018   01   21   16.65    0.21
  2018   01   22   15.20   -1.24
  2018   01   23   15.53   -0.91
  2018   01   24   16.07   -0.37
  2018   01   25   15.63   -0.81
  2018   01   26   15.77   -0.77
  2018   01   27   15.50   -1.04
  2018   01   28     NaN     NaN
  2018   01   29   15.30   -1.24
  2018   01   30   15.37   -1.17
  2018   01   31   14.87   -1.80
  2018   02   01   14.57   -2.10
  2018   02   02   14.47   -2.20
  2018   02   03   14.25   -2.42
  2018   02   04     NaN     NaN
  2018   02   05   14.77   -2.04
  2018   02   06   14.83   -1.98
  2018   02   07   15.17   -1.64
  2018   02   08   14.93   -1.88
  2018   02   09   15.03   -1.78
  2018   02   10   14.63   -2.31
  2018   02   11   14.49   -2.45
  2018   02   12   15.10   -1.84
  2018   02   13   15.37   -1.57
  2018   02   14   14.87   -2.07
  2018   02   15   14.73   -2.34
  2018   02   16   14.97   -2.10
  2018   02   17   14.75   -2.32
  2018   02   18   15.40   -1.67
  2018   02   19   16.13   -0.94
  2018   02   20   15.47   -1.73
  2018   02   21   15.23   -1.97
  2018   02   22   15.33   -1.87
  2018   02   23   16.37   -0.83
  2018   02   24   16.70   -0.50
  2018   02   25   15.50   -1.84
  2018   02   26   15.17   -2.17
  2018   02   27   14.70   -2.64
  2018   02   28   14.73   -2.61
  2018   03   01   14.90   -2.44
  2018   03   02   14.73   -2.71
  2018   03   03   14.45   -2.99
  2018   03   04   14.55   -2.89
  2018   03   05   15.17   -2.27
  2018   03   06   15.33   -2.11
  2018   03   07   15.33   -2.19
  2018   03   08   15.17   -2.35
  2018   03   09   15.77   -1.75
  2018   03   10   15.23   -2.29
  2018   03   11   16.01   -1.51
  2018   03   12   15.23   -2.33
  2018   03   13   15.37   -2.19
  2018   03   14   15.17   -2.39
  2018   03   15   16.20   -1.36
  2018   03   16   15.65   -1.91
  2018   03   17   15.65   -1.92
  2018   03   18   15.92   -1.65
  2018   03   19   15.23   -2.34
  2018   03   20   15.60   -1.97
  2018   03   21   15.57   -2.00
  2018   03   22   17.43   -0.16
  2018   03   23   17.53   -0.06
  2018   03   24   16.70   -0.89
  2018   03   25   16.00   -1.59
  2018   03   26   16.07   -1.52
  2018   03   27   16.73   -0.85
  2018   03   28   16.83   -0.75
  2018   03   29   16.65   -0.93
  2018   03   30     NaN     NaN
  2018   03   31     NaN     NaN
  2018   04   01     NaN     NaN
  2018   04   02   15.67   -1.85
  2018   04   03   15.27   -2.25
  2018   04   04   15.23   -2.29
  2018   04   05   15.93   -1.59
  2018   04   06   16.23   -1.21
  2018   04   07   17.75    0.31
  2018   04   08     NaN     NaN
  2018   04   09   17.47    0.03
  2018   04   10   15.70   -1.74
  2018   04   11   15.37   -2.00
  2018   04   12   15.50   -1.87
  2018   04   13   15.95   -1.42
  2018   04   14   15.35   -2.02
  2018   04   15   15.85   -1.52
  2018   04   16   15.90   -1.36
  2018   04   17   15.47   -1.79
  2018   04   18   14.93   -2.33
  2018   04   19   15.47   -1.79
  2018   04   20   15.33   -1.93
  2018   04   21   15.73   -1.38
  2018   04   22   16.03   -1.08
  2018   04   23   15.50   -1.61
  2018   04   24   15.53   -1.58
  2018   04   25   15.50   -1.61
  2018   04   26   15.50   -1.45
  2018   04   27   15.37   -1.58
  2018   04   28   15.80   -1.15
  2018   04   29   14.95   -2.00
  2018   04   30   15.23   -1.72
  2018   05   01   15.00   -1.83
  2018   05   02   16.33   -0.50
  2018   05   03   15.80   -1.03
  2018   05   04   16.13   -0.70
  2018   05   05   16.20   -0.63
  2018   05   06   15.67   -1.09
  2018   05   07   15.53   -1.23
  2018   05   08   15.70   -1.06
  2018   05   09   15.70   -1.06
  2018   05   10   15.47   -1.29
  2018   05   11   16.80    0.09
  2018   05   12   15.85   -0.86
  2018   05   13   15.78   -0.93
  2018   05   14   15.30   -1.41
  2018   05   15   15.30   -1.41
  2018   05   16   15.33   -1.33
  2018   05   17   15.13   -1.53
  2018   05   18   16.05   -0.61
  2018   05   19   16.71    0.05
  2018   05   20   15.90   -0.76
  2018   05   21   15.41   -1.20
  2018   05   22   15.15   -1.46
  2018   05   23   15.14   -1.47
  2018   05   24   15.40   -1.21
  2018   05   25   15.23   -1.38
  2018   05   26   15.39   -1.18
  2018   05   27   15.36   -1.21
  2018   05   28   15.33   -1.24
  2018   05   29   15.47   -1.10
  2018   05   30   15.34   -1.23
  2018   05   31   15.32   -1.23
  2018   06   01   15.61   -0.94
  2018   06   02   16.01   -0.54
  2018   06   03   15.80   -0.75
  2018   06   04   15.73   -0.82
  2018   06   05   16.07   -0.45
  2018   06   06   16.03   -0.49
  2018   06   07   16.08   -0.44
  2018   06   08   15.68   -0.84
  2018   06   09   16.06   -0.46
  2018   06   10   15.90   -0.54
  2018   06   11   15.64   -0.80
  2018   06   12   15.73   -0.71
  2018   06   13   15.62   -0.82
  2018   06   14   15.49   -0.95
  2018   06   15   15.99   -0.40
  2018   06   16   15.95   -0.44
  2018   06   17   15.56   -0.83
  2018   06   18   15.86   -0.53
  2018   06   19   16.00   -0.39
  2018   06   20   16.03   -0.31
  2018   06   21   16.12   -0.22
  2018   06   22   15.97   -0.37
  2018   06   23   15.88   -0.46
  2018   06   24   15.82   -0.52
  2018   06   25   15.77   -0.55
  2018   06   26   15.90   -0.42
  2018   06   27   16.03   -0.29
  2018   06   28   16.26   -0.06
  2018   06   29   16.23   -0.09
  2018   06   30   16.09   -0.17
  2018   07   01   16.03   -0.23
  2018   07   02   15.84   -0.42
  2018   07   03   15.74   -0.52
  2018   07   04   15.60   -0.66
  2018   07   05   15.60   -0.59
  2018   07   06   15.81   -0.38
  2018   07   07   16.04   -0.15
  2018   07   08   16.38    0.19
  2018   07   09   16.01   -0.18
  2018   07   10   15.80   -0.31
  2018   07   11   15.74   -0.37
  2018   07   12   15.71   -0.40
  2018   07   13   15.99   -0.12
  2018   07   14   15.83   -0.28
  2018   07   15   15.84   -0.19
  2018   07   16   15.83   -0.20
  2018   07   17   15.77   -0.26
  2018   07   18   15.73   -0.30
  2018   07   19   15.73   -0.30
  2018   07   20   15.62   -0.34
  2018   07   21   15.79   -0.17
  2018   07   22   15.72   -0.24
  2018   07   23   15.77   -0.19
  2018   07   24   15.93   -0.03
  2018   07   25   15.70   -0.17
  2018   07   26   15.60   -0.27
  2018   07   27     NaN     NaN
  2018   07   28     NaN     NaN
  2018   07   29     NaN     NaN
  2018   07   30   15.73   -0.06
  2018   07   31   15.81    0.02
  2018   08   01   15.47   -0.32
  2018   08   02   15.37   -0.42
  2018   08   03   15.50   -0.29
  2018   08   04     NaN     NaN
  2018   08   05     NaN     NaN
  2018   08   06   15.17   -0.55
  2018   08   07   15.07   -0.65
  2018   08   08   15.30   -0.42
  2018   08   09   15.47   -0.18
  2018   08   10   15.30   -0.35
  2018   08   11   15.40   -0.25
  2018   08   12     NaN     NaN
  2018   08   13   15.30   -0.35
  2018   08   14   15.53   -0.04
  2018   08   15   15.73    0.16
  2018   08   16   15.37   -0.20
  2018   08   17   15.10   -0.47
