% Temperatura Superficial del Mar y su Anomalía
% Estación Costera Chicama (07°41'40"S, 79°26'19.3"W)
%  = Promedio diario de la Temperatura Superficial del Mar en grados Celsius (°C)
%    para los últimos 12 meses
%  = Anomalía diaria de la Temperatura Superficial del Mar en grados Celsius (°C)
%    con respecto a la Climatología de 1981-2010
%
% Consultas: cgrados@imarpe.gob.pe
%
% yyyy   mm   dd    TSM     ATSM
  2018   01   01   16.23   -0.91
  2018   01   02   16.67   -0.47
  2018   01   03   16.47   -0.67
  2018   01   04   16.80   -0.34
  2018   01   05   16.37   -0.77
  2018   01   06   16.20   -1.05
  2018   01   07   16.67   -0.58
  2018   01   08   16.33   -0.92
  2018   01   09   16.07   -1.18
  2018   01   10   16.43   -0.82
  2018   01   11   16.43   -0.94
  2018   01   12   16.13   -1.24
  2018   01   13   16.73   -0.64
  2018   01   14   16.30   -1.07
  2018   01   15   16.53   -0.84
  2018   01   16   17.17   -0.33
  2018   01   17   16.40   -1.10
  2018   01   18   16.50   -1.00
  2018   01   19   16.47   -1.03
  2018   01   20   16.17   -1.33
  2018   01   21   16.00   -1.65
  2018   01   22   16.17   -1.48
  2018   01   23   16.30   -1.35
  2018   01   24   16.17   -1.48
  2018   01   25   16.77   -0.88
  2018   01   26   16.63   -1.20
  2018   01   27   16.37   -1.46
  2018   01   28   16.67   -1.16
  2018   01   29   16.90   -0.93
  2018   01   30   16.30   -1.53
  2018   01   31   16.60   -1.43
  2018   02   01   16.67   -1.36
  2018   02   02   16.70   -1.33
  2018   02   03   15.73   -2.30
  2018   02   04   16.23   -1.80
  2018   02   05   16.53   -1.71
  2018   02   06   16.70   -1.54
  2018   02   07   16.13   -2.11
  2018   02   08   15.73   -2.51
  2018   02   09   17.03   -1.21
  2018   02   10   16.77   -1.71
  2018   02   11   16.60   -1.88
  2018   02   12   15.87   -2.61
  2018   02   13   16.50   -1.98
  2018   02   14   18.83    0.35
  2018   02   15   18.30   -0.43
  2018   02   16   19.53    0.80
  2018   02   17   20.17    1.44
  2018   02   18   19.03    0.30
  2018   02   19   19.67    0.94
  2018   02   20   18.90   -0.03
  2018   02   21   18.77   -0.16
  2018   02   22   18.57   -0.36
  2018   02   23   17.23   -1.70
  2018   02   24   16.93   -2.00
  2018   02   25   16.80   -2.28
  2018   02   26   18.00   -1.08
  2018   02   27   16.77   -2.31
  2018   02   28   16.40   -2.68
  2018   03   01   16.73   -2.35
  2018   03   02   16.57   -2.61
  2018   03   03   17.17   -2.01
  2018   03   04   17.47   -1.71
  2018   03   05   16.13   -3.05
  2018   03   06   16.67   -2.51
  2018   03   07   16.53   -2.71
  2018   03   08   16.43   -2.81
  2018   03   09   17.40   -1.84
  2018   03   10   16.67   -2.57
  2018   03   11   16.37   -2.87
  2018   03   12   17.20   -2.03
  2018   03   13   17.97   -1.26
  2018   03   14   18.30   -0.93
  2018   03   15   18.03   -1.20
  2018   03   16   18.20   -1.03
  2018   03   17   18.23   -0.91
  2018   03   18   17.50   -1.64
  2018   03   19   17.83   -1.31
  2018   03   20   18.40   -0.74
  2018   03   21   17.53   -1.61
  2018   03   22   18.03   -0.98
  2018   03   23   17.73   -1.28
  2018   03   24   16.97   -2.04
  2018   03   25   17.50   -1.51
  2018   03   26   17.13   -1.88
  2018   03   27   16.93   -1.91
  2018   03   28   16.43   -2.41
  2018   03   29   16.90   -1.94
  2018   03   30   17.07   -1.77
  2018   03   31   16.77   -2.07
  2018   04   01   17.53   -1.12
  2018   04   02   18.13   -0.52
  2018   04   03   17.47   -1.18
  2018   04   04   17.93   -0.72
  2018   04   05   17.50   -1.15
  2018   04   06   18.10   -0.35
  2018   04   07   18.07   -0.38
  2018   04   08   17.60   -0.85
  2018   04   09   17.87   -0.58
  2018   04   10   18.23   -0.22
  2018   04   11   17.90   -0.32
  2018   04   12   18.13   -0.09
  2018   04   13   17.50   -0.72
  2018   04   14   17.00   -1.22
  2018   04   15   17.20   -1.02
  2018   04   16   17.07   -0.94
  2018   04   17   16.93   -1.08
  2018   04   18   17.17   -0.84
  2018   04   19   17.10   -0.91
  2018   04   20   17.57   -0.44
  2018   04   21   17.80   -0.04
  2018   04   22   18.13    0.29
