% Temperatura Superficial del Mar y su Anomalía
% Estación Costera Chimbote (09°27'19.8"S, 78°23'0.2"W)
%  = Promedio diario de la Temperatura Superficial del Mar en grados Celsius (°C)
%    para los últimos 12 meses
%  = Anomalía diaria de la Temperatura Superficial del Mar en grados Celsius (°C)
%    con respecto a la Climatología de 1981-2010
%
% Consultas: cgrados@imarpe.gob.pe
%
% yyyy   mm   dd    TSM     ATSM
  2018   01   01   19.83   -0.97
  2018   01   02   19.20   -1.60
  2018   01   03   18.50   -2.30
  2018   01   04   19.47   -1.33
  2018   01   05   20.00   -0.80
  2018   01   06   20.00   -0.95
  2018   01   07   19.93   -1.02
  2018   01   08   19.17   -1.78
  2018   01   09   18.40   -2.55
  2018   01   10   18.80   -2.15
  2018   01   11   19.00   -2.07
  2018   01   12   18.77   -2.30
  2018   01   13   19.37   -1.70
  2018   01   14   19.70   -1.37
  2018   01   15   19.87   -1.20
  2018   01   16   20.27   -0.92
  2018   01   17   19.03   -2.16
  2018   01   18   19.17   -2.02
  2018   01   19   18.87   -2.32
  2018   01   20   19.20   -1.99
  2018   01   21   19.37   -1.92
  2018   01   22   18.37   -2.92
  2018   01   23   18.40   -2.89
  2018   01   24   18.90   -2.39
  2018   01   25   18.77   -2.52
  2018   01   26   19.33   -2.12
  2018   01   27   19.17   -2.28
  2018   01   28   19.27   -2.18
  2018   01   29   19.40   -2.05
  2018   01   30   20.10   -1.35
  2018   01   31   19.90   -1.75
  2018   02   01   19.50   -2.15
  2018   02   02   18.70   -2.95
  2018   02   03   18.20   -3.45
  2018   02   04   19.07   -2.58
  2018   02   05   19.00   -2.80
  2018   02   06   18.33   -3.47
  2018   02   07   18.03   -3.77
  2018   02   08   18.00   -3.80
  2018   02   09   18.00   -3.80
  2018   02   10   19.40   -2.57
  2018   02   11   19.80   -2.17
  2018   02   12   18.17   -3.80
  2018   02   13   18.87   -3.10
  2018   02   14   18.00   -3.97
  2018   02   15   18.87   -3.26
  2018   02   16   18.17   -3.96
  2018   02   17   18.77   -3.36
  2018   02   18   19.03   -3.10
  2018   02   19   18.67   -3.46
  2018   02   20   18.37   -3.91
  2018   02   21   19.53   -2.75
  2018   02   22   19.93   -2.35
  2018   02   23   19.53   -2.75
  2018   02   24   20.37   -1.91
  2018   02   25   19.90   -2.47
  2018   02   26   19.33   -3.04
  2018   02   27   19.13   -3.24
  2018   02   28   20.47   -1.90
  2018   03   01   19.20   -3.17
  2018   03   02   18.67   -3.73
  2018   03   03   18.90   -3.50
  2018   03   04   20.23   -2.17
  2018   03   05   19.00   -3.40
  2018   03   06   18.00   -4.40
  2018   03   07   18.53   -3.87
  2018   03   08   18.00   -4.40
  2018   03   09   18.17   -4.23
  2018   03   10   19.00   -3.40
  2018   03   11   18.93   -3.47
  2018   03   12   19.00   -3.38
  2018   03   13   18.73   -3.65
  2018   03   14   19.67   -2.71
  2018   03   15   18.43   -3.95
  2018   03   16   19.20   -3.18
  2018   03   17   19.67   -2.67
  2018   03   18   19.93   -2.41
  2018   03   19   18.63   -3.71
  2018   03   20   19.47   -2.87
  2018   03   21   19.27   -3.07
  2018   03   22   19.10   -3.13
  2018   03   23   19.23   -3.00
  2018   03   24   19.20   -3.03
  2018   03   25   20.97   -1.26
  2018   03   26   21.03   -1.20
  2018   03   27   19.97   -2.08
  2018   03   28   19.87   -2.18
  2018   03   29   20.73   -1.32
  2018   03   30   20.73   -1.32
  2018   03   31   19.57   -2.48
  2018   04   01   19.30   -2.53
  2018   04   02   19.50   -2.33
  2018   04   03   19.17   -2.66
  2018   04   04   19.33   -2.50
  2018   04   05   19.23   -2.60
  2018   04   06   19.57   -2.04
  2018   04   07   19.60   -2.01
  2018   04   08   19.90   -1.71
  2018   04   09   19.60   -2.01
  2018   04   10   20.60   -1.01
  2018   04   11   19.33   -2.03
  2018   04   12   19.83   -1.53
  2018   04   13   20.23   -1.13
  2018   04   14   19.83   -1.53
  2018   04   15   19.77   -1.59
  2018   04   16   18.00   -3.07
  2018   04   17   17.87   -3.20
  2018   04   18   18.67   -2.40
  2018   04   19   19.13   -1.94
  2018   04   20   19.13   -1.94
  2018   04   21   19.93   -0.88
  2018   04   22   19.50   -1.31
  2018   04   23   19.33   -1.48
  2018   04   24   19.53   -1.28
  2018   04   25   19.80   -1.01
  2018   04   26   20.00   -0.58
  2018   04   27   20.07   -0.51
  2018   04   28   20.23   -0.35
  2018   04   29   20.63    0.05
  2018   04   30   18.63   -1.95
  2018   05   01   19.53   -0.86
  2018   05   02   19.57   -0.82
  2018   05   03   18.60   -1.79
  2018   05   04   18.03   -2.36
  2018   05   05   19.17   -1.22
  2018   05   06   19.37   -0.82
  2018   05   07   19.27   -0.92
  2018   05   08   18.70   -1.49
  2018   05   09   18.43   -1.76
  2018   05   10   19.17   -1.02
  2018   05   11   19.03   -0.99
  2018   05   12   19.27   -0.75
  2018   05   13   18.77   -1.25
  2018   05   14   18.70   -1.32
  2018   05   15   18.47   -1.55
  2018   05   16   18.70   -1.17
  2018   05   17   18.80   -1.07
  2018   05   18   18.03   -1.84
  2018   05   19   18.07   -1.80
  2018   05   20   18.27   -1.60
  2018   05   21   18.70   -1.00
  2018   05   22   18.43   -1.27
  2018   05   23   18.07   -1.63
  2018   05   24   17.97   -1.73
  2018   05   25   17.97   -1.73
  2018   05   26   18.70   -0.85
  2018   05   27   18.77   -0.78
  2018   05   28   17.27   -2.28
  2018   05   29   18.30   -1.25
  2018   05   30   17.93   -1.62
  2018   05   31   18.13   -1.29
  2018   06   01   17.53   -1.89
  2018   06   02   17.73   -1.69
  2018   06   03   18.60   -0.82
  2018   06   04   18.27   -1.15
  2018   06   05   18.37   -0.95
  2018   06   06   18.27   -1.05
  2018   06   07   17.93   -1.39
  2018   06   08   18.47   -0.85
  2018   06   09   18.60   -0.72
  2018   06   10   18.13   -1.08
  2018   06   11   18.13   -1.08
  2018   06   12   18.27   -0.94
  2018   06   13   18.07   -1.14
  2018   06   14   18.03   -1.18
  2018   06   15   18.10   -1.00
  2018   06   16   18.00   -1.10
  2018   06   17   18.57   -0.53
  2018   06   18   18.17   -0.93
  2018   06   19   18.00   -1.10
  2018   06   20   17.70   -1.31
  2018   06   21   17.73   -1.28
  2018   06   22   17.80   -1.21
  2018   06   23   18.33   -0.68
  2018   06   24   18.40   -0.61
  2018   06   25   18.53   -0.39
  2018   06   26   18.07   -0.85
  2018   06   27   17.70   -1.22
  2018   06   28   17.40   -1.52
  2018   06   29   18.00   -0.92
  2018   06   30   18.10   -0.74
  2018   07   01   18.00   -0.84
  2018   07   02   18.53   -0.31
  2018   07   03   17.97   -0.87
  2018   07   04   17.80   -1.04
  2018   07   05   18.57   -0.17
  2018   07   06   17.50   -1.24
  2018   07   07   17.03   -1.71
  2018   07   08   17.10   -1.64
  2018   07   09   17.60   -1.14
  2018   07   10   17.53   -1.12
  2018   07   11   17.47   -1.18
  2018   07   12   18.00   -0.65
  2018   07   13   18.17   -0.48
  2018   07   14   18.30   -0.35
  2018   07   15   17.73   -0.81
  2018   07   16   17.47   -1.07
  2018   07   17   17.83   -0.71
  2018   07   18   17.60   -0.94
  2018   07   19   18.17   -0.37
  2018   07   20   18.20   -0.26
  2018   07   21   18.10   -0.36
  2018   07   22   18.13   -0.33
  2018   07   23   17.70   -0.76
  2018   07   24   18.43   -0.03
  2018   07   25   18.60    0.21
  2018   07   26   18.33   -0.06
  2018   07   27   18.07   -0.32
  2018   07   28   18.50    0.11
  2018   07   29   18.30   -0.09
  2018   07   30   17.83   -0.50
  2018   07   31   17.57   -0.76
  2018   08   01   18.20   -0.13
  2018   08   02   18.43    0.10
  2018   08   03   18.00   -0.33
  2018   08   04   18.33    0.03
  2018   08   05   18.10   -0.20
  2018   08   06   17.53   -0.77
  2018   08   07   17.50   -0.80
  2018   08   08   17.17   -1.13
  2018   08   09   17.27   -1.01
  2018   08   10   17.47   -0.81
  2018   08   11   18.00   -0.28
  2018   08   12   17.63   -0.65
  2018   08   13   17.57   -0.71
  2018   08   14   17.70   -0.61
  2018   08   15   17.80   -0.51
  2018   08   16   17.97   -0.34
  2018   08   17   18.23   -0.08
  2018   08   18     NaN     NaN
  2018   08   19     NaN     NaN
  2018   08   20   17.67   -0.67
  2018   08   21   18.10   -0.24
  2018   08   22   17.83   -0.51
  2018   08   23   18.03   -0.31
  2018   08   24   18.00   -0.38
  2018   08   25   18.10   -0.28
  2018   08   26   17.97   -0.41
  2018   08   27   18.10   -0.28
  2018   08   28   18.00   -0.38
  2018   08   29   17.77   -0.65
  2018   08   30   17.93   -0.49
  2018   08   31   17.73   -0.69
  2018   09   01   17.87   -0.55
  2018   09   02   17.87   -0.55
  2018   09   03   17.77   -0.66
  2018   09   04   18.07   -0.36
  2018   09   05   18.33   -0.10
  2018   09   06   18.50    0.07
  2018   09   07   18.77    0.34
  2018   09   08   18.97    0.54
  2018   09   09   18.10   -0.33
  2018   09   10   18.23   -0.20
  2018   09   11   18.53    0.10
  2018   09   12   18.00   -0.43
  2018   09   13   18.13   -0.28
  2018   09   14   17.97   -0.44
  2018   09   15   18.17   -0.24
  2018   09   16   18.07   -0.34
  2018   09   17   17.87   -0.54
  2018   09   18   17.70   -0.70
  2018   09   19   17.23   -1.17
  2018   09   20   18.03   -0.37
  2018   09   21   17.43   -0.97
  2018   09   22   18.53    0.13
  2018   09   23   18.67    0.27
  2018   09   24   18.10   -0.30
  2018   09   25   17.97   -0.43
  2018   09   26   18.03   -0.37
  2018   09   27   18.47    0.07
  2018   09   28   17.83   -0.58
  2018   09   29   18.37   -0.04
  2018   09   30   18.67    0.26
  2018   10   01   18.07   -0.34
  2018   10   02   17.63   -0.78
  2018   10   03   18.40   -0.05
  2018   10   04   18.00   -0.45
  2018   10   05   17.87   -0.58
  2018   10   06   18.17   -0.28
  2018   10   07   18.23   -0.22
  2018   10   08   19.90    1.39
  2018   10   09   18.67    0.16
  2018   10   10   18.83    0.32
  2018   10   11   18.67    0.16
  2018   10   12   18.50   -0.01
  2018   10   13   18.90    0.31
  2018   10   14   18.97    0.38
  2018   10   15   19.03    0.44
