% Temperatura Superficial del Mar y su Anomalía
% Estación Costera Huacho (11°07'18.83"S, 77°36'58.53"W)
%  = Promedio diario de la Temperatura Superficial del Mar en grados Celsius (°C)
%    para los últimos 12 meses
%  = Anomalía diaria de la Temperatura Superficial del Mar en grados Celsius (°C)
%    con respecto a la Climatología de 1989-2010
%
% Consultas: cgrados@imarpe.gob.pe
%
% yyyy   mm   dd    TSM     ATSM
  2018   01   01     NaN     NaN
  2018   01   02     NaN     NaN
  2018   01   03   14.57   -2.17
  2018   01   04   15.33   -1.41
  2018   01   05   16.27   -0.47
  2018   01   06   16.37   -0.53
  2018   01   07   16.50   -0.40
  2018   01   08   15.57   -1.33
  2018   01   09   15.93   -0.97
  2018   01   10   17.17    0.27
  2018   01   11   16.30   -0.76
  2018   01   12   15.57   -1.49
  2018   01   13   15.87   -1.19
  2018   01   14   15.77   -1.29
  2018   01   15   16.10   -0.96
  2018   01   16   16.23   -0.96
  2018   01   17   16.00   -1.19
  2018   01   18   15.60   -1.59
  2018   01   19   15.60   -1.59
  2018   01   20   16.60   -0.59
  2018   01   21     NaN     NaN
  2018   01   22   17.77    0.46
  2018   01   23   18.20    0.89
  2018   01   24   18.20    0.89
  2018   01   25   17.00   -0.31
  2018   01   26   16.03   -1.38
  2018   01   27   16.40   -1.01
  2018   01   28   15.63   -1.78
  2018   01   29   15.33   -2.08
  2018   01   30   16.20   -1.21
  2018   01   31   15.70   -1.80
  2018   02   01   15.77   -1.73
  2018   02   02   15.37   -2.13
  2018   02   03   15.47   -2.03
  2018   02   04   15.63   -1.87
  2018   02   05   15.17   -2.41
  2018   02   06   15.60   -1.98
  2018   02   07   16.30   -1.28
  2018   02   08   16.17   -1.41
  2018   02   09   16.83   -0.75
  2018   02   10   16.67   -1.00
  2018   02   11   16.87   -0.80
  2018   02   12   15.50   -2.17
  2018   02   13   15.90   -1.77
  2018   02   14   15.63   -2.04
  2018   02   15   15.33   -2.46
  2018   02   16   15.30   -2.49
  2018   02   17   15.50   -2.29
  2018   02   18   15.37   -2.42
  2018   02   19   16.77   -1.02
  2018   02   20   16.20   -1.69
  2018   02   21   15.23   -2.66
  2018   02   22   15.90   -1.99
  2018   02   23   16.20   -1.69
  2018   02   24   16.00   -1.89
  2018   02   25   16.37   -1.62
  2018   02   26   15.00   -2.99
  2018   02   27   15.03   -2.96
  2018   02   28   15.13   -2.86
  2018   03   01   15.10   -2.89
  2018   03   02   15.23   -2.84
  2018   03   03   15.40   -2.67
  2018   03   04   15.50   -2.57
  2018   03   05   14.80   -3.27
  2018   03   06   15.13   -2.94
  2018   03   07   15.63   -2.52
  2018   03   08   15.60   -2.55
  2018   03   09   16.03   -2.12
  2018   03   10   15.90   -2.25
  2018   03   11   15.77   -2.38
  2018   03   12   15.37   -2.80
  2018   03   13   15.33   -2.84
  2018   03   14   15.33   -2.84
  2018   03   15   15.77   -2.40
  2018   03   16   15.83   -2.34
  2018   03   17   15.63   -2.51
  2018   03   18   15.80   -2.34
  2018   03   19   16.13   -2.01
  2018   03   20   15.97   -2.17
  2018   03   21   16.20   -1.94
  2018   03   22   16.70   -1.42
  2018   03   23   16.30   -1.82
  2018   03   24   16.57   -1.55
  2018   03   25   16.37   -1.75
  2018   03   26   15.97   -2.15
  2018   03   27   15.87   -2.19
  2018   03   28   16.17   -1.89
  2018   03   29   15.93   -2.13
  2018   03   30   15.73   -2.33
  2018   03   31   15.90   -2.16
  2018   04   01   15.87   -2.07
  2018   04   02   15.90   -2.04
  2018   04   03   15.90   -2.04
  2018   04   04   15.33   -2.61
  2018   04   05   15.27   -2.67
  2018   04   06   15.90   -1.87
  2018   04   07   15.90   -1.87
  2018   04   08   15.97   -1.80
  2018   04   09   15.27   -2.50
  2018   04   10   16.60   -1.17
  2018   04   11   16.20   -1.40
  2018   04   12   15.40   -2.20
  2018   04   13   15.53   -2.07
  2018   04   14   15.77   -1.83
  2018   04   15   15.80   -1.80
  2018   04   16   16.53   -0.89
  2018   04   17   15.70   -1.72
  2018   04   18   15.70   -1.72
  2018   04   19   15.47   -1.95
  2018   04   20   15.60   -1.82
  2018   04   21   15.97   -1.28
  2018   04   22   15.43   -1.82
  2018   04   23   15.67   -1.58
  2018   04   24   15.60   -1.65
  2018   04   25   16.53   -0.72
  2018   04   26   16.83   -0.28
  2018   04   27   16.87   -0.24
  2018   04   28   17.17    0.06
  2018   04   29   17.13    0.02
  2018   04   30   16.77   -0.34
  2018   05   01   16.60   -0.39
  2018   05   02   16.00   -0.99
  2018   05   03   16.20   -0.79
  2018   05   04   16.07   -0.92
  2018   05   05   16.53   -0.46
  2018   05   06   16.90   -0.01
  2018   05   07   17.00    0.09
  2018   05   08   16.07   -0.84
  2018   05   09   16.33   -0.58
  2018   05   10   16.03   -0.88
  2018   05   11   16.17   -0.67
  2018   05   12   16.70   -0.14
  2018   05   13   16.33   -0.51
  2018   05   14   15.67   -1.17
  2018   05   15   15.63   -1.21
  2018   05   16   15.77   -0.98
  2018   05   17   15.60   -1.15
  2018   05   18   15.30   -1.45
  2018   05   19   15.43   -1.32
  2018   05   20   15.50   -1.25
  2018   05   21   15.63   -1.02
  2018   05   22   15.50   -1.15
  2018   05   23   15.33   -1.32
  2018   05   24   15.33   -1.32
  2018   05   25   15.17   -1.48
  2018   05   26   15.90   -0.71
  2018   05   27   16.43   -0.18
  2018   05   28   16.27   -0.34
  2018   05   29   15.57   -1.04
  2018   05   30   15.40   -1.21
  2018   05   31   15.30   -1.31
  2018   06   01   15.43   -1.18
  2018   06   02   15.40   -1.21
  2018   06   03   15.40   -1.21
  2018   06   04   15.87   -0.74
  2018   06   05   15.80   -0.80
  2018   06   06   16.20   -0.40
  2018   06   07   16.07   -0.53
  2018   06   08   16.07   -0.53
  2018   06   09   15.93   -0.67
  2018   06   10   15.87   -0.71
  2018   06   11   15.93   -0.65
  2018   06   12   16.13   -0.45
  2018   06   13   16.03   -0.55
  2018   06   14   16.03   -0.55
  2018   06   15   15.90   -0.66
  2018   06   16   16.03   -0.53
  2018   06   17   16.03   -0.53
  2018   06   18   15.93   -0.63
  2018   06   19   15.87   -0.69
  2018   06   20   15.90   -0.64
  2018   06   21   16.07   -0.47
  2018   06   22   16.17   -0.37
  2018   06   23   16.13   -0.41
  2018   06   24   15.93   -0.61
  2018   06   25   16.00   -0.55
  2018   06   26   15.77   -0.78
  2018   06   27   15.83   -0.72
  2018   06   28   15.93   -0.62
  2018   06   29   16.00   -0.55
  2018   06   30   15.87   -0.68
  2018   07   01   15.97   -0.58
  2018   07   02   15.90   -0.65
  2018   07   03   15.67   -0.88
  2018   07   04   15.57   -0.98
  2018   07   05   15.50   -1.04
  2018   07   06   15.53   -1.01
  2018   07   07   15.80   -0.74
  2018   07   08   15.97   -0.57
  2018   07   09   16.27   -0.27
  2018   07   10   16.07   -0.48
  2018   07   11   16.17   -0.38
  2018   07   12   16.07   -0.48
  2018   07   13   16.23   -0.32
  2018   07   14   16.13   -0.42
  2018   07   15   16.17   -0.37
  2018   07   16   16.13   -0.41
  2018   07   17   15.77   -0.77
  2018   07   18   15.67   -0.87
  2018   07   19   15.77   -0.77
  2018   07   20   15.70   -0.84
  2018   07   21   15.90   -0.64
  2018   07   22   15.80   -0.74
  2018   07   23   15.47   -1.07
  2018   07   24   15.63   -0.91
  2018   07   25   15.73   -0.70
  2018   07   26   15.53   -0.90
  2018   07   27   15.60   -0.83
  2018   07   28   15.53   -0.90
  2018   07   29   15.80   -0.63
  2018   07   30   15.57   -0.74
  2018   07   31   15.83   -0.48
  2018   08   01   15.77   -0.54
  2018   08   02   15.80   -0.51
  2018   08   03   15.73   -0.58
  2018   08   04   15.87   -0.31
  2018   08   05   15.80   -0.38
  2018   08   06   15.63   -0.55
  2018   08   07   15.50   -0.68
  2018   08   08   15.43   -0.75
  2018   08   09   15.47   -0.58
  2018   08   10   15.37   -0.68
  2018   08   11   15.53   -0.52
  2018   08   12   15.40   -0.65
  2018   08   13   15.50   -0.55
  2018   08   14   15.63   -0.30
  2018   08   15   15.70   -0.23
  2018   08   16   15.77   -0.16
