% Temperatura Superficial del Mar y su Anomalía 
% Estación Costera Huanchaco (08°04'41.2"S, 79°07'19.3"W)
%  = Promedio diario de la Temperatura Superficial del Mar en grados Celsius (°C)
%    para los últimos 12 meses
%  = Anomalía diaria de la Temperatura Superficial del Mar en grados Celsius (°C)
%    con respecto a la Climatología de 2008-2016
%
% Consultas: cgrados@imarpe.gob.pe
%
% yyyy   mm   dd    TSM     ATSM
  2018   01   01   15.70   -1.96
  2018   01   02   15.93   -1.73
  2018   01   03   16.27   -1.39
  2018   01   04   15.57   -2.09
  2018   01   05   15.93   -1.73
  2018   01   06   15.67   -2.28
  2018   01   07   15.70   -2.25
  2018   01   08   15.70   -2.25
  2018   01   09   15.63   -2.32
  2018   01   10   16.10   -1.85
  2018   01   11   16.53   -1.62
  2018   01   12   16.20   -1.95
  2018   01   13   16.90   -1.25
  2018   01   14   17.13   -1.02
  2018   01   15   17.33   -0.82
  2018   01   16   17.90   -0.49
  2018   01   17   17.07   -1.32
  2018   01   18   16.63   -1.76
  2018   01   19   17.37   -1.02
  2018   01   20   17.43   -0.96
  2018   01   21   16.57   -1.95
  2018   01   22   16.93   -1.59
  2018   01   23   16.77   -1.75
  2018   01   24   16.30   -2.22
  2018   01   25   17.50   -1.02
  2018   01   26   16.13   -2.53
  2018   01   27   15.57   -3.09
  2018   01   28   16.20   -2.46
  2018   01   29   16.23   -2.43
  2018   01   30   16.10   -2.56
  2018   01   31   16.33   -2.50
  2018   02   01   16.30   -2.53
  2018   02   02   17.50   -1.33
  2018   02   03   15.70   -3.13
  2018   02   04   16.23   -2.60
  2018   02   05   17.20   -1.78
  2018   02   06   15.90   -3.08
  2018   02   07   15.63   -3.35
  2018   02   08   16.43   -2.55
  2018   02   09   17.67   -1.31
  2018   02   10   16.17   -2.88
  2018   02   11   16.30   -2.75
  2018   02   12   16.20   -2.85
  2018   02   13   16.10   -2.95
  2018   02   14   16.33   -2.72
  2018   02   15   16.70   -2.30
  2018   02   16   18.80   -0.20
  2018   02   17   20.03    1.03
  2018   02   18   20.13    1.13
  2018   02   19   19.90    0.90
  2018   02   20   18.93   -0.08
  2018   02   21   19.70    0.69
  2018   02   22   19.13    0.12
  2018   02   23   18.27   -0.74
  2018   02   24   17.50   -1.51
  2018   02   25   18.20   -0.83
  2018   02   26   17.73   -1.30
  2018   02   27   17.27   -1.76
  2018   02   28   17.13   -1.90
  2018   03   01   16.63   -2.40
  2018   03   02   16.63   -2.31
  2018   03   03   17.23   -1.71
  2018   03   04   17.10   -1.84
  2018   03   05   16.27   -2.67
  2018   03   06   16.10   -2.84
  2018   03   07   16.10   -2.74
  2018   03   08   16.30   -2.54
  2018   03   09   16.47   -2.37
  2018   03   10   16.27   -2.57
  2018   03   11   16.13   -2.71
  2018   03   12   16.50   -2.28
  2018   03   13   15.77   -3.01
  2018   03   14   16.63   -2.15
  2018   03   15   17.43   -1.35
  2018   03   16   18.23   -0.55
  2018   03   17   18.10   -0.57
  2018   03   18   17.70   -0.97
  2018   03   19   17.93   -0.74
  2018   03   20   18.40   -0.27
  2018   03   21   18.63   -0.04
  2018   03   22   18.27   -0.30
  2018   03   23   16.93   -1.64
  2018   03   24   17.13   -1.44
  2018   03   25   17.30   -1.27
  2018   03   26   16.83   -1.74
  2018   03   27   16.43   -1.99
  2018   03   28   16.57   -1.85
  2018   03   29   16.47   -1.95
  2018   03   30   17.20   -1.22
  2018   03   31   16.40   -2.02
  2018   04   01   16.57   -1.67
  2018   04   02   16.70   -1.54
  2018   04   03   17.40   -0.84
  2018   04   04   17.43   -0.81
  2018   04   05   17.10   -1.14
  2018   04   06   17.03   -1.08
  2018   04   07   17.30   -0.81
  2018   04   08   17.70   -0.41
  2018   04   09   18.40    0.29
  2018   04   10   16.87   -1.24
  2018   04   11   17.57   -0.51
  2018   04   12   18.43    0.35
  2018   04   13   16.53   -1.55
  2018   04   14   16.83   -1.25
  2018   04   15   17.83   -0.25
  2018   04   16   16.73   -1.47
  2018   04   17   16.60   -1.60
  2018   04   18   16.30   -1.90
