% Temperatura Superficial del Mar y su Anomalía
% Estación Costera Ilo (17°38'38.4"S, 71°20'45.6"W)
%  = Promedio diario de la Temperatura Superficial del Mar en grados Celsius (°C)
%    para los últimos 12 meses
%  = Anomalía diaria de la Temperatura Superficial del Mar en grados Celsius (°C)
%    con respecto a la Climatología de 1981-2010
%
% Consultas: cgrados@imarpe.gob.pe
%
% yyyy   mm   dd    TSM     ATSM
  2018   01   01   17.53    0.50
  2018   01   02   17.80    0.77
  2018   01   03   17.80    0.77
  2018   01   04   15.33   -1.70
  2018   01   05   17.33    0.30
  2018   01   06   17.73    0.59
  2018   01   07   17.60    0.46
  2018   01   08   16.87   -0.27
  2018   01   09   16.63   -0.51
  2018   01   10   17.40    0.26
  2018   01   11   18.53    1.35
  2018   01   12   17.50    0.32
  2018   01   13   16.23   -0.95
  2018   01   14   15.93   -1.25
  2018   01   15   15.13   -2.05
  2018   01   16   15.00   -2.25
  2018   01   17   14.30   -2.95
  2018   01   18   14.50   -2.75
  2018   01   19   14.67   -2.58
  2018   01   20   14.60   -2.65
  2018   01   21   15.20   -2.05
  2018   01   22   15.27   -1.98
  2018   01   23   16.23   -1.02
  2018   01   24   15.73   -1.52
  2018   01   25   15.40   -1.85
  2018   01   26   15.47   -1.77
  2018   01   27   15.37   -1.87
  2018   01   28   15.33   -1.91
  2018   01   29   15.87   -1.37
  2018   01   30   16.07   -1.17
  2018   01   31   15.63   -1.58
  2018   02   01   16.40   -0.81
  2018   02   02   15.80   -1.41
  2018   02   03   15.70   -1.51
  2018   02   04   15.63   -1.58
  2018   02   05   15.93   -1.22
  2018   02   06   17.73    0.58
  2018   02   07   16.77   -0.38
  2018   02   08   16.57   -0.58
  2018   02   09   16.90   -0.25
  2018   02   10   17.03   -0.13
  2018   02   11   17.00   -0.16
  2018   02   12   16.67   -0.49
  2018   02   13   17.17    0.01
  2018   02   14   17.87    0.71
  2018   02   15   17.87    0.71
  2018   02   16   17.57    0.41
  2018   02   17   17.37    0.21
  2018   02   18   16.73   -0.43
  2018   02   19   17.30    0.14
  2018   02   20   17.50    0.36
  2018   02   21   17.53    0.39
  2018   02   22   17.47    0.33
  2018   02   23   18.17    1.03
  2018   02   24   19.77    2.63
  2018   02   25   18.90    1.77
  2018   02   26   16.83   -0.30
  2018   02   27   17.30    0.17
  2018   02   28   17.17    0.04
  2018   03   01   15.60   -1.53
  2018   03   02   15.87   -1.28
  2018   03   03   16.53   -0.62
  2018   03   04   15.67   -1.48
  2018   03   05   16.27   -0.88
  2018   03   06   16.33   -0.82
  2018   03   07   16.20   -0.95
  2018   03   08   16.93   -0.22
  2018   03   09   16.33   -0.82
  2018   03   10   16.27   -0.88
  2018   03   11   15.00   -2.15
  2018   03   12   15.10   -2.03
  2018   03   13   16.20   -0.93
  2018   03   14   16.30   -0.83
  2018   03   15   16.47   -0.66
  2018   03   16   16.23   -0.90
  2018   03   17   17.17    0.14
  2018   03   18   16.67   -0.36
  2018   03   19   15.50   -1.53
  2018   03   20   16.27   -0.76
  2018   03   21   15.90   -1.13
  2018   03   22   16.27   -0.70
  2018   03   23   16.23   -0.74
  2018   03   24   16.53   -0.44
  2018   03   25   16.53   -0.44
  2018   03   26   15.50   -1.47
  2018   03   27   16.53   -0.38
  2018   03   28   17.87    0.96
  2018   03   29   17.20    0.29
  2018   03   30   17.00    0.09
  2018   03   31   16.90   -0.01
  2018   04   01   16.37   -0.46
  2018   04   02   16.23   -0.60
  2018   04   03   16.80   -0.03
  2018   04   04   15.63   -1.20
  2018   04   05   15.77   -1.06
  2018   04   06   15.60   -1.17
  2018   04   07   15.53   -1.24
  2018   04   08   15.57   -1.20
  2018   04   09   15.57   -1.20
  2018   04   10   15.87   -0.90
  2018   04   11   15.80   -0.91
  2018   04   12   15.60   -1.11
  2018   04   13   15.63   -1.08
  2018   04   14   15.83   -0.88
  2018   04   15   15.67   -1.04
  2018   04   16   16.70    0.03
  2018   04   17   17.27    0.60
  2018   04   18   17.37    0.70
  2018   04   19   17.33    0.66
  2018   04   20   17.30    0.63
  2018   04   21   17.43    0.82
  2018   04   22   16.93    0.32
  2018   04   23   15.27   -1.34
  2018   04   24   16.13   -0.48
  2018   04   25   15.33   -1.28
  2018   04   26   15.40   -1.18
  2018   04   27   16.60    0.02
  2018   04   28   16.23   -0.35
  2018   04   29   15.87   -0.71
  2018   04   30   15.27   -1.31
  2018   05   01   15.30   -1.19
  2018   05   02   16.43   -0.06
  2018   05   03   17.23    0.74
  2018   05   04   17.30    0.81
  2018   05   05   17.13    0.64
  2018   05   06   17.20    0.79
  2018   05   07   17.33    0.92
  2018   05   08   16.77    0.36
  2018   05   09   17.37    0.96
  2018   05   10   16.77    0.36
  2018   05   11   16.07   -0.26
  2018   05   12   16.07   -0.26
  2018   05   13   16.63    0.30
  2018   05   14   16.47    0.14
  2018   05   15   16.33    0.00
  2018   05   16   16.30    0.04
  2018   05   17   15.87   -0.39
  2018   05   18   16.37    0.11
  2018   05   19   16.13   -0.13
  2018   05   20   16.37    0.11
  2018   05   21   17.07    0.88
  2018   05   22   17.17    0.98
  2018   05   23   16.20    0.01
  2018   05   24   16.07   -0.12
  2018   05   25   16.20    0.01
  2018   05   26   16.47    0.37
  2018   05   27   16.70    0.60
  2018   05   28   16.90    0.80
  2018   05   29   16.83    0.73
  2018   05   30   16.20    0.10
  2018   05   31   15.93   -0.13
  2018   06   01   15.80   -0.26
  2018   06   02   15.83   -0.23
  2018   06   03   15.70   -0.36
  2018   06   04   15.57   -0.49
  2018   06   05   15.63   -0.37
  2018   06   06   15.77   -0.23
  2018   06   07   16.13    0.13
  2018   06   08   15.97   -0.03
  2018   06   09   16.03    0.03
  2018   06   10   16.13    0.20
