% Temperatura Superficial del Mar y su Anomalía
% Estación Costera Paita (05°04'37.98"S, 81°07'13.98"W)
%  = Promedio diario de la Temperatura Superficial del Mar en grados Celsius (°C)
%    para los últimos 12 meses
%  = Anomalía diaria de la Temperatura Superficial del Mar en grados Celsius (°C)
%    con respecto a la Climatología de 1981-2010
%
% Consultas: cgrados@imarpe.gob.pe
%
% yyyy   mm   dd    TSM     ATSM
  2018   01   01   18.77   -0.83
  2018   01   02   19.93    0.33
  2018   01   03   19.67    0.07
  2018   01   04   20.20    0.60
  2018   01   05   19.77    0.17
  2018   01   06     NaN     NaN
  2018   01   07   17.93   -1.95
  2018   01   08   16.97   -2.91
  2018   01   09   16.10   -3.78
  2018   01   10   17.73   -2.15
  2018   01   11   18.27   -1.91
  2018   01   12     NaN     NaN
  2018   01   13     NaN     NaN
  2018   01   14     NaN     NaN
  2018   01   15   19.90   -0.28
  2018   01   16   21.15    0.76
  2018   01   17   21.03    0.64
  2018   01   18   21.13    0.74
  2018   01   19   20.37   -0.02
  2018   01   20   20.97    0.58
  2018   01   21   21.90    1.06
  2018   01   22   21.63    0.79
  2018   01   23   22.47    1.63
  2018   01   24   21.40    0.56
  2018   01   25   20.70   -0.14
  2018   01   26     NaN     NaN
  2018   01   27     NaN     NaN
  2018   01   28   18.50   -2.85
  2018   01   29   19.27   -2.08
  2018   01   30   19.33   -2.02
  2018   01   31   19.83   -1.94
  2018   02   01   19.50   -2.27
  2018   02   02   19.33   -2.44
  2018   02   03   20.60   -1.17
  2018   02   04   21.47   -0.30
  2018   02   05   21.63   -0.59
  2018   02   06   22.40    0.18
  2018   02   07   22.40    0.18
  2018   02   08   22.77    0.55
  2018   02   09   23.57    1.35
  2018   02   10   24.37    1.75
  2018   02   11   24.90    2.28
  2018   02   12   25.20    2.58
  2018   02   13   25.33    2.71
  2018   02   14   24.90    2.28
  2018   02   15   25.33    2.39
  2018   02   16   24.77    1.83
  2018   02   17   23.70    0.76
  2018   02   18   24.77    1.83
  2018   02   19   25.23    2.29
  2018   02   20   24.53    1.36
  2018   02   21   24.70    1.53
  2018   02   22   23.43    0.26
  2018   02   23   24.30    1.13
  2018   02   24   24.47    1.30
  2018   02   25   24.27    1.06
  2018   02   26   24.77    1.56
  2018   02   27   24.73    1.52
  2018   02   28   24.20    0.99
  2018   03   01   23.30    0.09
  2018   03   02   22.40   -0.82
  2018   03   03   21.40   -1.82
  2018   03   04   21.93   -1.29
  2018   03   05   22.50   -0.72
  2018   03   06   23.00   -0.22
  2018   03   07   24.00    0.78
  2018   03   08   22.80   -0.42
  2018   03   09   23.03   -0.19
  2018   03   10   21.73   -1.49
  2018   03   11   21.80   -1.42
  2018   03   12   22.30   -0.78
  2018   03   13   21.80   -1.28
  2018   03   14   20.27   -2.81
  2018   03   15   19.13   -3.95
  2018   03   16   21.60   -1.48
  2018   03   17   20.17   -2.71
  2018   03   18   20.27   -2.61
  2018   03   19   20.47   -2.41
  2018   03   20   19.43   -3.45
  2018   03   21   17.07   -5.81
  2018   03   22   18.00   -4.57
  2018   03   23   19.67   -2.90
  2018   03   24   20.10   -2.47
  2018   03   25   19.93   -2.64
  2018   03   26   20.47   -2.10
  2018   03   27   20.00   -2.21
  2018   03   28   20.27   -1.94
  2018   03   29   20.57   -1.64
  2018   03   30   20.60   -1.61
  2018   03   31   19.70   -2.51
  2018   04   01   19.60   -2.23
  2018   04   02   21.23   -0.60
  2018   04   03   19.97   -1.86
  2018   04   04   20.63   -1.20
  2018   04   05   19.70   -2.13
  2018   04   06   19.40   -1.97
  2018   04   07   19.53   -1.84
  2018   04   08   20.23   -1.14
  2018   04   09   19.93   -1.44
  2018   04   10   18.03   -3.34
  2018   04   11   19.07   -1.87
  2018   04   12   18.73   -2.21
  2018   04   13   18.00   -2.94
  2018   04   14   18.00   -2.94
  2018   04   15   18.80   -2.14
  2018   04   16   19.47   -1.09
  2018   04   17   17.67   -2.89
  2018   04   18   17.40   -3.16
  2018   04   19   16.97   -3.59
  2018   04   20   17.23   -3.33
  2018   04   21   17.87   -2.31
  2018   04   22   16.47   -3.71
  2018   04   23   18.47   -1.71
  2018   04   24   18.33   -1.85
  2018   04   25   19.10   -1.08
  2018   04   26   18.40   -1.48
  2018   04   27   17.97   -1.91
  2018   04   28   19.07   -0.81
  2018   04   29   17.50   -2.38
  2018   04   30   17.47   -2.41
  2018   05   01   17.13   -2.54
  2018   05   02   19.00   -0.67
  2018   05   03   18.80   -0.87
  2018   05   04   19.37   -0.30
  2018   05   05   19.03   -0.64
  2018   05   06   18.47   -1.06
  2018   05   07   18.37   -1.16
  2018   05   08   17.93   -1.60
  2018   05   09   17.90   -1.63
  2018   05   10   18.17   -1.36
  2018   05   11   18.83   -0.56
  2018   05   12   18.63   -0.76
  2018   05   13   18.57   -0.82
  2018   05   14   18.63   -0.76
  2018   05   15   18.43   -0.96
  2018   05   16   17.97   -1.26
  2018   05   17   19.73    0.50
  2018   05   18   20.33    1.10
  2018   05   19   20.13    0.90
  2018   05   20   19.47    0.24
  2018   05   21   19.00   -0.10
  2018   05   22   18.50   -0.60
  2018   05   23   18.40   -0.70
  2018   05   24   18.73   -0.37
  2018   05   25   18.80   -0.30
  2018   05   26   18.13   -0.81
  2018   05   27   17.97   -0.97
  2018   05   28   17.83   -1.11
  2018   05   29   18.07   -0.87
  2018   05   30   18.03   -0.91
  2018   05   31   17.63   -1.16
  2018   06   01   17.87   -0.92
  2018   06   02   18.03   -0.76
  2018   06   03   17.80   -0.99
  2018   06   04   17.73   -1.06
  2018   06   05   17.33   -1.31
  2018   06   06   17.10   -1.54
  2018   06   07   17.17   -1.47
  2018   06   08   17.23   -1.41
  2018   06   09   17.33   -1.31
  2018   06   10   17.07   -1.39
  2018   06   11   17.17   -1.29
  2018   06   12   17.03   -1.43
  2018   06   13   17.03   -1.43
  2018   06   14   17.23   -1.23
  2018   06   15   16.97   -1.31
  2018   06   16   16.93   -1.35
  2018   06   17   16.87   -1.41
  2018   06   18   16.57   -1.71
  2018   06   19   16.87   -1.41
  2018   06   20   17.07   -1.06
  2018   06   21   17.83   -0.30
  2018   06   22   18.30    0.17
  2018   06   23   18.27    0.14
  2018   06   24   17.60   -0.53
  2018   06   25   17.60   -0.42
  2018   06   26   17.37   -0.65
  2018   06   27   17.47   -0.55
  2018   06   28   17.40   -0.62
  2018   06   29   17.23   -0.79
  2018   06   30   17.20   -0.66
  2018   07   01   18.23    0.37
  2018   07   02   17.47   -0.39
  2018   07   03   18.20    0.34
  2018   07   04   18.13    0.27
  2018   07   05   18.50    0.81
  2018   07   06   18.47    0.78
  2018   07   07   18.50    0.81
  2018   07   08   18.17    0.48
  2018   07   09   18.07    0.38
  2018   07   10   18.07    0.47
  2018   07   11   17.97    0.37
  2018   07   12   17.63    0.03
  2018   07   13   17.70    0.10
  2018   07   14   17.53   -0.07
  2018   07   15   16.83   -0.67
  2018   07   16   16.77   -0.73
  2018   07   17   17.07   -0.43
  2018   07   18   17.53    0.03
  2018   07   19   18.10    0.60
  2018   07   20   18.20    0.79
  2018   07   21   17.53    0.12
  2018   07   22   17.23   -0.18
  2018   07   23   17.70    0.29
  2018   07   24   17.73    0.32
  2018   07   25   18.00    0.69
  2018   07   26   17.17   -0.14
  2018   07   27   17.37    0.06
  2018   07   28   17.03   -0.28
  2018   07   29   17.00   -0.31
  2018   07   30   17.07   -0.15
  2018   07   31   18.90    1.68
  2018   08   01   20.57    3.35
  2018   08   02   20.77    3.55
  2018   08   03   20.53    3.31
  2018   08   04   20.37    3.20
  2018   08   05   19.60    2.43
  2018   08   06   19.07    1.90
  2018   08   07   18.73    1.56
  2018   08   08   18.37    1.20
  2018   08   09   18.47    1.38
  2018   08   10   17.50    0.41
  2018   08   11   17.20    0.11
  2018   08   12   17.23    0.14
  2018   08   13   16.97   -0.12
  2018   08   14   16.87   -0.15
  2018   08   15   16.80   -0.22
  2018   08   16   16.63   -0.39
  2018   08   17   18.27    1.25
  2018   08   18   17.90    0.88
  2018   08   19   17.80    0.89
  2018   08   20   17.60    0.69
  2018   08   21   17.43    0.52
  2018   08   22   16.93    0.02
  2018   08   23   16.87   -0.04
  2018   08   24   16.60   -0.23
  2018   08   25   16.43   -0.40
  2018   08   26   16.30   -0.53
  2018   08   27   16.67   -0.16
  2018   08   28   17.43    0.60
  2018   08   29   17.53    0.74
  2018   08   30   17.63    0.84
  2018   08   31   16.67   -0.12
  2018   09   01   16.63   -0.16
