% Temperatura Superficial del Mar y su Anomalía
% Estación Costera Pisco (13°42'33.4"S, 76°13'18.5"W)
%  = Promedio diario de la Temperatura Superficial del Mar en grados Celsius (°C)
%    para los últimos 12 meses
%  = Anomalía diaria de la Temperatura Superficial del Mar en grados Celsius (°C)
%    con respecto a la Climatología de 1982-2010
%
% Consultas: cgrados@imarpe.gob.pe
%
% yyyy   mm   dd    TSM     ATSM
  2018   01   01   23.07    0.97
  2018   01   02   19.93   -2.17
  2018   01   03   18.77   -3.33
  2018   01   04   21.50   -0.60
  2018   01   05   21.37   -0.73
  2018   01   06   19.33   -2.92
  2018   01   07   18.30   -3.95
  2018   01   08   18.13   -4.12
  2018   01   09   19.33   -2.92
  2018   01   10   21.73   -0.52
  2018   01   11   22.30   -0.11
  2018   01   12   18.40   -4.01
  2018   01   13   17.33   -5.08
  2018   01   14   21.07   -1.34
  2018   01   15   25.83    3.42
  2018   01   16   24.30    1.74
  2018   01   17   18.67   -3.89
  2018   01   18   21.17   -1.39
  2018   01   19   23.33    0.77
  2018   01   20   23.67    1.11
  2018   01   21   23.67    0.97
  2018   01   22   20.30   -2.40
  2018   01   23   23.30    0.60
  2018   01   24   23.17    0.47
  2018   01   25   23.60    0.90
  2018   01   26   21.37   -1.38
  2018   01   27   21.53   -1.22
  2018   01   28   22.57   -0.18
  2018   01   29   23.80    1.05
  2018   01   30   19.33   -3.42
  2018   01   31   21.03   -1.78
  2018   02   01   19.00   -3.81
  2018   02   02   18.10   -4.71
  2018   02   03   17.93   -4.88
  2018   02   04   19.67   -3.14
  2018   02   05   17.97   -4.97
  2018   02   06   17.30   -5.64
  2018   02   07   20.20   -2.74
  2018   02   08   23.47    0.53
  2018   02   09   23.13    0.19
  2018   02   10   21.40   -1.60
  2018   02   11   20.37   -2.63
  2018   02   12   21.27   -1.73
  2018   02   13   24.80    1.80
  2018   02   14   24.17    1.17
  2018   02   15   19.23   -3.75
  2018   02   16   20.30   -2.68
  2018   02   17   18.67   -4.31
  2018   02   18   16.90   -6.08
  2018   02   19   21.40   -1.58
  2018   02   20   20.43   -2.56
  2018   02   21   18.43   -4.56
  2018   02   22   17.77   -5.22
  2018   02   23   19.97   -3.02
  2018   02   24   23.83    0.84
  2018   02   25   22.53   -0.52
  2018   02   26   18.90   -4.15
  2018   02   27   18.27   -4.78
  2018   02   28   20.27   -2.78
  2018   03   01   18.57   -4.48
  2018   03   02   18.13   -4.90
  2018   03   03   17.83   -5.20
  2018   03   04   17.97   -5.06
  2018   03   05   19.20   -3.83
  2018   03   06   21.50   -1.53
  2018   03   07   23.27    0.22
  2018   03   08   22.73   -0.32
  2018   03   09   24.33    1.28
  2018   03   10   21.77   -1.28
  2018   03   11   21.33   -1.72
  2018   03   12   21.33   -1.73
  2018   03   13   23.50    0.44
  2018   03   14   24.30    1.24
  2018   03   15   23.83    0.77
  2018   03   16   24.43    1.37
  2018   03   17   23.63    0.56
  2018   03   18   23.33    0.26
  2018   03   19   21.17   -1.90
  2018   03   20   19.80   -3.27
  2018   03   21   18.83   -4.24
  2018   03   22   18.10   -4.96
  2018   03   23   22.50   -0.56
  2018   03   24   23.80    0.74
  2018   03   25   24.37    1.31
  2018   03   26   22.67   -0.39
  2018   03   27   21.50   -1.47
  2018   03   28   22.43   -0.54
  2018   03   29   22.07   -0.90
  2018   03   30   22.03   -0.94
  2018   03   31   23.63    0.66
  2018   04   01   25.17    2.30
  2018   04   02   24.00    1.13
  2018   04   03   20.60   -2.27
  2018   04   04   17.67   -5.20
  2018   04   05   19.27   -3.60
  2018   04   06   24.23    1.49
  2018   04   07   24.20    1.46
  2018   04   08   24.67    1.93
  2018   04   09   23.93    1.19
  2018   04   10   24.37    1.63
  2018   04   11   22.27   -0.24
  2018   04   12   18.83   -3.68
  2018   04   13   23.17    0.66
  2018   04   14   23.53    1.02
  2018   04   15   23.97    1.46
  2018   04   16   23.80    1.45
  2018   04   17   23.30    0.95
  2018   04   18   22.83    0.48
  2018   04   19   20.17   -2.18
  2018   04   20   22.63    0.28
  2018   04   21   23.77    1.65
  2018   04   22   24.00    1.88
  2018   04   23   22.30    0.18
  2018   04   24   23.33    1.21
  2018   04   25   20.07   -2.05
  2018   04   26   20.00   -1.89
  2018   04   27   19.00   -2.89
  2018   04   28   19.00   -2.89
