% Temperatura Superficial del Mar y su anomalía
% Estación Costera San José (06°46'15"S, 79°58'00"W)
%  = Promedio diario de la Temperatura Superficial del Mar en grados Celsius (°C)
%    para los últimos 12 meses
%  = Anomalía diaria de la Temperatura Superficial del Mar en grados Celsius (°C)
%    con respecto a la Climatología de 1991-2010
%
% Consultas: cgrados@imarpe.gob.pe
%
% yyyy   mm   dd    TSM     ATSM
  2018   01   01   18.33   -2.13
  2018   01   02   18.67   -1.79
  2018   01   03   19.23   -1.23
  2018   01   04   19.13   -1.33
  2018   01   05   19.70   -0.76
  2018   01   06   19.83   -0.72
  2018   01   07   19.87   -0.68
  2018   01   08   18.87   -1.68
  2018   01   09   19.53   -1.02
  2018   01   10   19.13   -1.42
  2018   01   11   19.33   -1.38
  2018   01   12   19.13   -1.58
  2018   01   13   19.07   -1.64
  2018   01   14   19.07   -1.64
  2018   01   15   18.83   -1.88
  2018   01   16   19.27   -1.57
  2018   01   17   19.10   -1.74
  2018   01   18   19.57   -1.27
  2018   01   19   19.63   -1.21
  2018   01   20   18.57   -2.27
  2018   01   21   18.77   -2.22
  2018   01   22   19.23   -1.76
  2018   01   23   19.70   -1.29
  2018   01   24   19.77   -1.22
  2018   01   25   19.80   -1.19
  2018   01   26   19.83   -1.36
  2018   01   27   20.00   -1.19
  2018   01   28   19.93   -1.26
  2018   01   29   19.63   -1.56
  2018   01   30   19.57   -1.62
  2018   01   31   19.87   -1.60
  2018   02   01   19.83   -1.64
  2018   02   02   19.77   -1.70
  2018   02   03   19.87   -1.60
  2018   02   04   20.00   -1.47
  2018   02   05   20.33   -1.47
  2018   02   06   20.17   -1.63
  2018   02   07   19.30   -2.50
  2018   02   08   18.43   -3.37
  2018   02   09   18.57   -3.23
  2018   02   10   19.43   -2.69
  2018   02   11   19.60   -2.52
  2018   02   12   20.87   -1.25
  2018   02   13   21.97   -0.15
  2018   02   14   23.07    0.95
  2018   02   15   23.13    0.70
  2018   02   16   23.63    1.20
  2018   02   17   23.60    1.17
  2018   02   18   23.50    1.07
  2018   02   19   23.20    0.77
  2018   02   20   22.10   -0.61
  2018   02   21   22.10   -0.61
  2018   02   22   22.40   -0.31
  2018   02   23   22.27   -0.44
  2018   02   24   22.37   -0.34
  2018   02   25   22.43   -0.44
  2018   02   26   22.03   -0.84
  2018   02   27   22.00   -0.87
  2018   02   28   21.13   -1.74
  2018   03   01   20.97   -1.90
  2018   03   02   21.37   -1.54
  2018   03   03   20.87   -2.04
  2018   03   04   20.70   -2.21
  2018   03   05   20.47   -2.44
  2018   03   06   20.40   -2.51
  2018   03   07   20.57   -2.31
  2018   03   08   20.50   -2.38
  2018   03   09   20.03   -2.85
  2018   03   10   20.03   -2.85
  2018   03   11   20.07   -2.81
  2018   03   12   21.20   -1.56
  2018   03   13   21.77   -0.99
  2018   03   14   21.37   -1.39
  2018   03   15   20.43   -2.33
  2018   03   16   20.83   -1.93
  2018   03   17   20.73   -1.80
  2018   03   18   20.33   -2.20
  2018   03   19   19.40   -3.13
  2018   03   20   20.33   -2.20
  2018   03   21   20.83   -1.70
  2018   03   22   21.03   -1.23
  2018   03   23   20.47   -1.79
  2018   03   24   19.60   -2.66
  2018   03   25   19.67   -2.59
  2018   03   26   19.20   -3.06
  2018   03   27   19.87   -2.08
  2018   03   28   19.80   -2.15
  2018   03   29   19.33   -2.62
  2018   03   30   19.37   -2.58
  2018   03   31   20.27   -1.68
  2018   04   01   20.10   -1.56
  2018   04   02   19.77   -1.89
  2018   04   03   20.90   -0.76
  2018   04   04   21.33   -0.33
  2018   04   05   20.00   -1.66
  2018   04   06   20.10   -1.23
  2018   04   07   20.20   -1.13
  2018   04   08   20.13   -1.20
  2018   04   09   20.10   -1.23
  2018   04   10   20.10   -1.23
  2018   04   11   20.57   -0.45
  2018   04   12   20.63   -0.39
  2018   04   13   20.17   -0.85
  2018   04   14   20.13   -0.89
  2018   04   15   20.13   -0.89
  2018   04   16   19.97   -0.75
  2018   04   17   20.20   -0.52
  2018   04   18   19.87   -0.85
  2018   04   19   20.10   -0.62
  2018   04   20   20.27   -0.45
  2018   04   21   20.40   -0.10
  2018   04   22   20.27   -0.23
  2018   04   23   19.97   -0.53
  2018   04   24   20.73    0.23
  2018   04   25   20.63    0.13
  2018   04   26   20.50    0.18
  2018   04   27   20.03   -0.29
  2018   04   28   20.73    0.41
  2018   04   29   19.47   -0.85
  2018   04   30   19.63   -0.69
  2018   05   01   19.93   -0.24
  2018   05   02   19.67   -0.50
  2018   05   03   19.50   -0.67
  2018   05   04   19.33   -0.84
  2018   05   05   19.60   -0.57
  2018   05   06   19.60   -0.47
  2018   05   07   19.20   -0.87
  2018   05   08   18.70   -1.37
  2018   05   09   19.10   -0.97
  2018   05   10   18.93   -1.14
  2018   05   11   19.30   -0.66
  2018   05   12   19.10   -0.86
  2018   05   13   18.93   -1.03
  2018   05   14   18.80   -1.16
  2018   05   15   18.93   -1.03
  2018   05   16   19.23   -0.67
  2018   05   17   19.33   -0.57
  2018   05   18   19.27   -0.63
  2018   05   19   19.10   -0.80
  2018   05   20   19.10   -0.80
  2018   05   21   19.20   -0.60
  2018   05   22   19.17   -0.63
  2018   05   23   18.77   -1.03
  2018   05   24   18.90   -0.90
  2018   05   25   19.07   -0.73
  2018   05   26   19.10   -0.59
  2018   05   27   19.17   -0.52
  2018   05   28   19.43   -0.26
  2018   05   29   19.40   -0.29
  2018   05   30   19.03   -0.66
  2018   05   31   19.13   -0.44
  2018   06   01   19.20   -0.37
  2018   06   02   19.07   -0.50
  2018   06   03   19.13   -0.44
  2018   06   04   19.63    0.06
  2018   06   05   19.37   -0.09
  2018   06   06   19.27   -0.19
  2018   06   07   18.60   -0.86
  2018   06   08   18.43   -1.03
  2018   06   09   18.70   -0.76
  2018   06   10   18.77   -0.57
  2018   06   11   18.70   -0.64
  2018   06   12   18.77   -0.57
  2018   06   13   18.80   -0.54
  2018   06   14   18.90   -0.44
  2018   06   15   18.93   -0.31
  2018   06   16   18.77   -0.47
  2018   06   17   18.60   -0.64
  2018   06   18   18.83   -0.41
  2018   06   19   18.70   -0.54
  2018   06   20   18.73   -0.38
  2018   06   21   18.43   -0.68
  2018   06   22   18.07   -1.04
  2018   06   23   17.97   -1.14
  2018   06   24   18.00   -1.11
  2018   06   25   18.50   -0.50
  2018   06   26   18.97   -0.03
