% Temperatura Superficial del Mar del mar
% Estación Costera Tumbes (03°38'17.7"S, 80°36'24.8"W)
%  = Promedio diario de la Temperatura Superficial del Mar en grados Celsius (°C)
%    para los últimos 12 meses
%  = Anomalía diaria de la Temperatura Superficial del Mar en grados Celsius (°C)
%    con respecto a la Climatología de 1985-2010
%
% Consultas: cgrados@imarpe.gob.pe
%
% yyyy   mm   dd    TSM     ATSM
  2018   01   01   27.03    0.13
  2018   01   02   27.27    0.37
  2018   01   03   27.77    0.87
  2018   01   04   27.93    1.03
  2018   01   05   27.27    0.37
  2018   01   06   27.60    0.58
  2018   01   07   27.73    0.71
  2018   01   08   27.67    0.65
  2018   01   09   27.33    0.31
  2018   01   10   26.97   -0.05
  2018   01   11   26.70   -0.43
  2018   01   12   26.83   -0.30
  2018   01   13   27.73    0.60
  2018   01   14   26.80   -0.33
  2018   01   15   27.07   -0.06
  2018   01   16   27.40    0.16
  2018   01   17   26.97   -0.27
  2018   01   18   27.73    0.49
  2018   01   19   27.10   -0.14
  2018   01   20   26.77   -0.47
  2018   01   21   27.27   -0.12
  2018   01   22   28.47    1.08
  2018   01   23   28.63    1.24
  2018   01   24   28.43    1.04
  2018   01   25   28.57    1.18
  2018   01   26   28.57    1.02
  2018   01   27     NaN     NaN
  2018   01   28   28.47    0.92
  2018   01   29   28.33    0.78
  2018   01   30   29.13    1.58
  2018   01   31   29.20    1.52
  2018   02   01   28.93    1.25
  2018   02   02   28.10    0.42
  2018   02   03   27.97    0.29
  2018   02   04   28.27    0.59
  2018   02   05   29.23    1.42
  2018   02   06   28.73    0.92
  2018   02   07   29.07    1.26
  2018   02   08   28.60    0.79
  2018   02   09   29.07    1.26
  2018   02   10   29.03    1.14
  2018   02   11   29.17    1.28
  2018   02   12   29.40    1.51
  2018   02   13   29.33    1.44
  2018   02   14   29.93    2.04
  2018   02   15   29.30    1.34
  2018   02   16   29.00    1.04
  2018   02   17   31.00    3.04
  2018   02   18   28.70    0.74
  2018   02   19   28.93    0.97
  2018   02   20   30.47    2.46
  2018   02   21   30.00    1.99
  2018   02   22   29.63    1.62
  2018   02   23   29.60    1.59
  2018   02   24   29.93    1.92
  2018   02   25   29.83    1.82
  2018   02   26   29.40    1.39
  2018   02   27   29.47    1.46
  2018   02   28   29.57    1.56
  2018   03   01   29.67    1.66
  2018   03   02   28.90    0.91
  2018   03   03   28.63    0.64
  2018   03   04   29.03    1.04
  2018   03   05   29.37    1.38
  2018   03   06   29.43    1.44
  2018   03   07   28.20    0.20
  2018   03   08   28.30    0.30
  2018   03   09   28.83    0.83
  2018   03   10   28.77    0.77
  2018   03   11   29.13    1.13
  2018   03   12   29.03    1.06
  2018   03   13   29.43    1.46
  2018   03   14   29.30    1.33
  2018   03   15   29.33    1.36
  2018   03   16   29.93    1.96
  2018   03   17   28.60    0.63
  2018   03   18   29.03    1.06
  2018   03   19   29.03    1.06
  2018   03   20   29.33    1.36
  2018   03   21   27.47   -0.50
  2018   03   22   28.20    0.26
  2018   03   23   27.53   -0.41
  2018   03   24   28.33    0.39
  2018   03   25   28.73    0.79
  2018   03   26   27.53   -0.41
  2018   03   27   27.47   -0.38
  2018   03   28   27.87    0.02
  2018   03   29   27.87    0.02
  2018   03   30   28.53    0.68
  2018   03   31   27.67   -0.18
  2018   04   01   27.43   -0.35
  2018   04   02   28.13    0.35
  2018   04   03   28.20    0.42
  2018   04   04   28.23    0.45
  2018   04   05   27.73   -0.05
  2018   04   06   28.23    0.52
  2018   04   07   27.83    0.12
  2018   04   08   27.23   -0.48
  2018   04   09   26.90   -0.81
  2018   04   10   27.80    0.09
  2018   04   11   27.83    0.17
  2018   04   12   27.83    0.17
  2018   04   13   27.43   -0.23
  2018   04   14   28.97    1.31
  2018   04   15   28.73    1.07
  2018   04   16   27.50    0.01
  2018   04   17   28.37    0.88
  2018   04   18   28.17    0.68
  2018   04   19   27.00   -0.49
  2018   04   20   28.17    0.68
  2018   04   21   27.27   -0.13
  2018   04   22   27.60    0.20
  2018   04   23   27.77    0.37
  2018   04   24   28.33    0.93
  2018   04   25   26.33   -1.07
  2018   04   26   27.50    0.16
  2018   04   27   27.23   -0.11
  2018   04   28   26.50   -0.84
  2018   04   29   25.70   -1.64
  2018   04   30   26.97   -0.37
  2018   05   01   27.10   -0.20
  2018   05   02   27.47    0.17
  2018   05   03   27.53    0.23
  2018   05   04   27.67    0.37
  2018   05   05   27.97    0.67
  2018   05   06   28.00    0.79
  2018   05   07   28.43    1.22
  2018   05   08   27.33    0.12
  2018   05   09   27.30    0.09
  2018   05   10   27.93    0.72
  2018   05   11   27.50    0.34
  2018   05   12   27.47    0.31
  2018   05   13   26.17   -0.99
  2018   05   14   27.27    0.11
  2018   05   15   26.70   -0.46
  2018   05   16   27.87    0.83
  2018   05   17   27.33    0.29
  2018   05   18   27.10    0.06
  2018   05   19   27.60    0.56
  2018   05   20   26.63   -0.41
  2018   05   21   27.10    0.21
  2018   05   22   27.33    0.44
  2018   05   23   27.47    0.58
  2018   05   24   27.47    0.58
  2018   05   25   26.93    0.04
  2018   05   26   27.03    0.28
  2018   05   27   27.23    0.48
  2018   05   28   27.20    0.45
  2018   05   29   27.57    0.82
  2018   05   30   26.20   -0.55
  2018   05   31   25.90   -0.67
  2018   06   01   25.20   -1.37
  2018   06   02   26.70    0.13
  2018   06   03   26.63    0.06
  2018   06   04   26.53   -0.04
  2018   06   05   25.67   -0.70
  2018   06   06   25.93   -0.44
  2018   06   07   25.80   -0.57
  2018   06   08   26.37    0.00
  2018   06   09   26.13   -0.24
  2018   06   10   25.27   -0.85
  2018   06   11   25.33   -0.79
  2018   06   12   26.13    0.01
  2018   06   13   26.20    0.08
  2018   06   14   25.43   -0.69
  2018   06   15   26.00    0.12
  2018   06   16   26.43    0.55
  2018   06   17   26.33    0.45
  2018   06   18   26.23    0.35
  2018   06   19   25.87   -0.01
  2018   06   20   25.13   -0.55
  2018   06   21   24.93   -0.75
  2018   06   22   24.73   -0.95
  2018   06   23   24.67   -1.01
  2018   06   24   24.67   -1.01
  2018   06   25   25.33   -0.14
  2018   06   26   25.47    0.00
  2018   06   27   24.80   -0.67
  2018   06   28   24.60   -0.87
  2018   06   29   25.60    0.13
  2018   06   30   25.87    0.58
  2018   07   01   26.00    0.71
  2018   07   02   25.00   -0.29
  2018   07   03   25.00   -0.29
  2018   07   04   26.13    0.84
  2018   07   05   25.13    0.00
  2018   07   06   24.80   -0.33
  2018   07   07   24.87   -0.26
  2018   07   08   25.00   -0.13
  2018   07   09   24.53   -0.60
  2018   07   10   24.80   -0.21
  2018   07   11   24.47   -0.54
  2018   07   12   24.53   -0.48
  2018   07   13   24.87   -0.14
  2018   07   14   24.83   -0.18
  2018   07   15   23.53   -1.40
  2018   07   16   25.57    0.64
  2018   07   17   23.80   -1.13
  2018   07   18   25.40    0.47
  2018   07   19   27.67    2.74
  2018   07   20   25.03    0.13
  2018   07   21   24.23   -0.67
  2018   07   22   25.50    0.60
  2018   07   23   25.93    1.03
  2018   07   24   25.97    1.07
  2018   07   25   25.80    0.95
  2018   07   26   24.90    0.05
  2018   07   27   23.93   -0.92
  2018   07   28   24.53   -0.32
